행정기관코드,시군구명,읍면동명,총인구,고령인구,위치코드,전체쉼터수,개방형쉼터수,평균용량,독거노인,고령비율,독거비율,취약도
1130557500,강북구,삼각산동,29803,5533,1130557500.0,3.0,1.0,33.333333333333336,1429,0.1856524510955273,0.047948193134919305,-0.4903641489566106
1130559500,강북구,번1동,15932,3882,1130559500.0,8.0,2.0,25.0,1322,0.24366055736881748,0.08297765503389405,0.7831692577979279
1130560300,강북구,번2동,14155,4706,1130560300.0,10.0,5.0,35.3,1568,0.33246202755210175,0.11077357824090428,2.236646640130346
1130560800,강북구,번3동,15343,5274,1130560800.0,7.0,3.0,26.428571428571427,1826,0.3437398162028287,0.11901192726324708,2.511672250796532
1130561500,강북구,수유1동,19241,5360,1130561500.0,6.0,1.0,29.833333333333332,1731,0.27857179980250507,0.0899641390780105,1.278886981251269
1130562500,강북구,수유2동,19775,5954,1130562500.0,4.0,1.0,31.25,1543,0.3010872313527181,0.07802781289506953,1.2827797372810612
1130563500,강북구,수유3동,22303,5651,1130563500.0,5.0,2.0,32.6,1903,0.25337398556248036,0.0853248441913644,0.9288406993761031
1130564500,강북구,우이동,19364,5798,1130564500.0,6.0,1.0,27.833333333333332,1715,0.2994216071059698,0.0885664118983681,1.4679512720570078
1130566000,강북구,인수동,27933,8378,1130566000.0,9.0,2.0,25.555555555555557,2540,0.29993198009522787,0.09093187269537822,1.5186710150045304
1132051100,도봉구,창제1동,22638,5545,1132051100.0,11.0,4.0,41.27272727272727,1367,0.24494213269723475,0.060385193038254265,0.36249629566117875
1132051200,도봉구,창제2동,27471,6793,1132051200.0,10.0,1.0,60.8,1619,0.24727894870954825,0.05893487677914892,0.35883837100361743
1132051300,도봉구,창제3동,12554,3542,1132051300.0,8.0,1.0,54.5,1084,0.28214115023100206,0.086346981041899,1.2463730412723488
1132051400,도봉구,창제4동,25856,5528,1132051400.0,10.0,1.0,68.2,1160,0.21379950495049505,0.04486386138613861,-0.25812832606407965
1132051500,도봉구,창제5동,23234,5604,1132051500.0,15.0,1.0,51.333333333333336,1222,0.24119824395282774,0.05259533442368942,0.17410269606631018
1132052100,도봉구,도봉제1동,19352,6879,1132052100.0,13.0,2.0,57.53846153846154,2333,0.35546713517982637,0.12055601488218272,2.662773068007798
1132052200,도봉구,도봉제2동,25568,7941,1132052200.0,17.0,3.0,49.88235294117647,1955,0.3105835419274093,0.0764627659574468,1.351058591848261
1132066000,도봉구,쌍문제1동,20495,5692,1132066000.0,14.0,1.0,44.57142857142857,1472,0.27772627470114664,0.07182239570626982,0.9216738460452456
1132067000,도봉구,쌍문제2동,17257,4831,1132067000.0,6.0,1.0,74.0,1435,0.2799443704004172,0.08315466187634003,1.1623077670153488
1132068000,도봉구,쌍문제3동,15893,4218,1132068000.0,6.0,1.0,62.166666666666664,1188,0.265399861574278,0.07474988988863021,0.8502569224833239
1132068100,도봉구,쌍문제4동,17534,4226,1132068100.0,11.0,1.0,43.45454545454545,796,0.24101745180791606,0.04539751340253222,0.03397845623429005
1132069000,도봉구,방학제1동,27706,7405,1132069000.0,13.0,3.0,37.76923076923077,2075,0.26727062730094564,0.07489352486825958,0.8723885875626964
1132070000,도봉구,방학제2동,17426,5400,1132070000.0,8.0,1.0,52.25,1894,0.3098817858372547,0.10868816710662228,1.9627604315644314
1132071000,도봉구,방학제3동,25241,6700,1132071000.0,14.0,2.0,33.714285714285715,1203,0.2654411473396458,0.047660552276058796,0.33036641559047103
1135056000,노원구,월계1동,20226,4778,1135056000.0,19.0,2.0,28.210526315789473,1169,0.2362305942845842,0.05779689508553347,0.2225688750919842
1135057000,노원구,월계2동,24513,6976,1135057000.0,20.0,2.0,30.6,2290,0.2845836902867866,0.09341981805572554,1.4075182845862115
1135058000,노원구,월계3동,27597,7209,1135058000.0,16.0,3.0,33.0,2102,0.26122404609196653,0.0761676993876146,0.8342466325565623
1135059500,노원구,공릉1동,35241,8080,1135059500.0,24.0,3.0,33.541666666666664,2479,0.2292783973213019,0.07034420135637467,0.3915772835658387
1135060000,노원구,공릉2동,40662,7095,1135060000.0,27.0,2.0,29.48148148148148,1493,0.17448723624022427,0.03671732821799223,-0.8217027005321562
1135061100,노원구,하계1동,25321,5559,1135061100.0,16.0,3.0,30.75,1923,0.2195410923739189,0.07594486789621263,0.39831690358786814
1135061200,노원구,하계2동,19450,3604,1135061200.0,7.0,1.0,26.285714285714285,840,0.1852956298200514,0.043187660668380465,-0.585497083203405
1135061900,노원구,중계본동,21967,2983,1135061900.0,20.0,2.0,28.1,597,0.13579460099239768,0.027177129330359175,-1.4056292461733586
1135062100,노원구,중계1동,25735,3188,1135062100.0,10.0,1.0,27.8,691,0.12387798717699632,0.026850592578200893,-1.5353042246684327
1135062400,노원구,중계4동,18526,4619,1135062400.0,17.0,2.0,31.11764705882353,1522,0.2493252725898737,0.08215480945697938,0.8260256762942826
1135062500,노원구,중계2.3동,31117,8613,1135062500.0,12.0,1.0,38.0,3069,0.2767940354147251,0.09862775974547675,1.4268836256708721
1135063000,노원구,상계1동,35842,9273,1135063000.0,30.0,3.0,30.933333333333334,2158,0.2587188214943362,0.06020869371128843,0.5017713061422335
1135064000,노원구,상계2동,18534,4372,1135064000.0,14.0,1.0,28.857142857142858,1180,0.23589079529513327,0.06366677457645409,0.33179569317977997
1135066500,노원구,상계3.4동,26412,7303,1135066500.0,18.0,2.0,31.666666666666668,2474,0.2765031046494018,0.09366954414660003,1.3286360277748923
1135067000,노원구,상계5동,21990,6142,1135067000.0,13.0,2.0,31.384615384615383,1936,0.2793087767166894,0.0880400181900864,1.2495612558101867
1135069500,노원구,상계6.7동,30043,6042,1135069500.0,17.0,3.0,29.705882352941178,1554,0.2011117398395633,0.051725859601238225,-0.2577153194537956
1135070000,노원구,상계8동,21217,3544,1135070000.0,5.0,2.0,28.0,783,0.1670358674647688,0.03690436913795541,-0.8952730983876634
1135071000,노원구,상계9동,18840,4308,1135071000.0,6.0,2.0,28.333333333333332,1020,0.2286624203821656,0.054140127388535034,0.07395900048873566
1135072000,노원구,상계10동,17820,3407,1135072000.0,6.0,1.0,28.333333333333332,690,0.19118967452300786,0.03872053872053872,-0.6102632163853321
1138051000,은평구,녹번동,35083,8584,1138051000.0,16.0,4.0,25.0625,2625,0.24467690904426645,0.07482256363480888,0.6370553381410324
1138052000,은평구,불광제1동,33687,8384,1138052000.0,20.0,2.0,25.65,2260,0.2488793896755425,0.06708819425891294,0.5320165316779495
1138053000,은평구,불광제2동,26127,7343,1138053000.0,8.0,1.0,25.0,2529,0.2810502545259693,0.09679641749913882,1.4357836149769856
1138055100,은평구,갈현제1동,13930,3566,1138055100.0,6.0,1.0,37.666666666666664,994,0.25599425699928213,0.07135678391959799,0.6876837308143346
1138055200,은평구,갈현제2동,26568,6267,1138055200.0,8.0,1.0,30.0,1615,0.23588527551942187,0.06078741342968985,0.2764332471102852
1138056000,은평구,구산동,30565,7607,1138056000.0,13.0,2.0,36.07692307692308,1739,0.2488794372648454,0.05689514150171765,0.3362341174432883
1138057000,은평구,대조동,26878,6077,1138057000.0,7.0,2.0,33.285714285714285,1996,0.22609569164372348,0.07426147778852593,0.4338596601655579
1138058000,은평구,응암제1동,31935,6359,1138058000.0,9.0,2.0,25.555555555555557,1555,0.1991232190386723,0.04869265695944888,-0.33656772975996274
1138059000,은평구,응암제2동,26751,4749,1138059000.0,11.0,1.0,28.181818181818183,1124,0.17752607379163396,0.04201712085529513,-0.6884381948735172
1138060000,은평구,응암제3동,22707,6558,1138060000.0,6.0,2.0,56.5,2258,0.28880961817941603,0.099440701105386,1.5669260907233098
1138062500,은평구,역촌동,44223,10616,1138062500.0,6.0,1.0,25.833333333333332,2799,0.24005607941568866,0.06329285665829998,0.36774745690686284
1138063100,은평구,신사제1동,25594,6342,1138063100.0,15.0,3.0,27.333333333333332,1425,0.2477924513557865,0.05567711182308353,0.3015824994416408
1138063200,은평구,신사제2동,19371,4704,1138063200.0,12.0,2.0,27.083333333333332,1219,0.2428372309121883,0.06292912085075629,0.3895613459113587
1138064000,은평구,증산동,15140,3451,1138064000.0,11.0,2.0,32.09090909090909,709,0.22793923381770145,0.046829590488771465,-0.07394701761587
1138065000,은평구,수색동,21088,3769,1138065000.0,11.0,1.0,26.363636363636363,823,0.1787272382397572,0.039026934749620636,-0.7334334370767055
